Part Name,Notes,Status,Cost,Product Links
Firing tube,Plastic pen barrel,Have,,
Coil retainers,Will design and 3d print,Need to make,,
Projectiles,1/8 in nails,Have,,
Lumber,"18 in of 5/8"" by 1 1/4"" ",Can get,,
Plastic drink bottle,Used for shell of components,Have,,
Plastic insulating tape,Holds components and insulates,Have,,
Coil wire,13 ft of 20 AWG enamel wire,Need to get,11.99,https://www.amazon.com/BNTECHGO-AWG-Magnet-Wire-Transformers/dp/B07H7FQTZM/ref=sr_1_4?crid=2WYZJ26Z5FICN&dib=eyJ2IjoiMSJ9.rrvQN2_grYdoz6PJs1R_1JdWb1wRbDFlfG9n4q3MvM10w2i97RG_cacSqo9qsA4eVUkANBf48gyxIMKrRYzXtNWi62xSoMf4gZMM57BShUNEuEG6N4qBlgpNzYgSG8ZDg_5baU6ZmEdWga_wRLghQ9mL-1FjydFWT6hNYMES5_gscjryFody1ksjb8fDMn7sGOrXF7O7PJ-5PDqgjuyKHvBmOZGn19QFvojwXqrzzrKg7_jvO_JIoU5VeUNs23HWPJqvAEh8vufNTvUpqccXvSU2PnCtgdry2r-7QyF6ZeQ.ug34gEVmlvVeMG-PARoM9bQIYGN630Txh4wkJmwjIYY&dib_tag=se&keywords=20%2Bawg%2Benameled%2Bwire&qid=1786285317&refinements=p_36%3A-1500&rnid=2661611011&s=industrial&sprefix=%2Cindustrial%2C267&sr=1-4&th=1
Batteries,4 9V PP3 batteries,Can get,,
Battery clips,4 PP3 battery clips,Need to get,4.99,https://www.amazon.com/Battery-Connector-Plastic-Experiment-Equipment/dp/B08SL9X2YC/ref=sr_1_4?crid=2E1QOOAAKWYVG&dib=eyJ2IjoiMSJ9.5Yx6TBGcuOZfvmyHBW8xP4Z2FH1GVl9ly7ngX0X5KBituV8h97kcb_drYzoHess1E6LXVUzSeKOW0QZq9-rFGm6aUhUUuo_B-nhK0tFz4-TRNXKPSHW1UpUwjufr6XBx6N9kNsh_DO0P5jGSmMGZGTEJcwuybRVyVW0iA6h5xEOOczMiZc9hTPbZnYweSWkzfe1vDDlVJ9D2bB0BPRK5U2wy0dwTIPLKpcaKnDZRVTY.6DQcgrlL3lVAWLlOzDiQKXYZeDSnXHKh7M2qw-4cu8s&dib_tag=se&keywords=9v%2Bpp3%2Bbattery%2Bconnector&qid=1786140886&sprefix=9v%2Bpp3%2Bbattery%2Bconnector%2Caps%2C140&sr=8-4&th=1
Capacitors,8 4700uf 35v snap-on capacitors,Need to get,15.2,https://www.newark.com/multicomp-pro/mclpr35v478m22x30/cap-4700-f-35v-alu-elec-snap-in/dp/97K4421
SCR,40TPS12A Thyristor 55A,Need to get,8.37,https://www.newark.com/vishay/vs-40tps12al-m3/scr-thyristor-55a-1-2kv-to-247ad/dp/95AC2466
S1,DPDT momentary toggle switch,Need to get,5.05,https://www.newark.com/multicomp-pro/1md5t1b1m1re/switch-dpdt/dp/98K4962
R1,100 ohm 2W,Need to get,0.34,https://www.newark.com/multicomp-pro/mcknp02sj0101a10/res-tht-100r-5-2w/dp/55T6578
R2,100 ohm .5W,Need to get,0.07,https://www.newark.com/multicomp-pro/mccfr0s2j0101a20/res-tht-100r-5-500mw/dp/58K4935
D1,5mm red LED,Have,,
R3,2.7k ohm .5W,Need to get,0.2,https://www.newark.com/multicomp-pro/mf50-2k7/res-tht-2k7-1-500mw/dp/38K5193
D2,5.1V 5W Zener diode,Need to get,0.72,https://www.newark.com/onsemi/1n5338bg/z-diode-single-5-1v-5w-017aa/dp/42K2853
Total Price,-,-,46.93,
